special_call,country,operators
II0WWA,Italy,"IK0ALT, IK0IHA, IK0MPI, IK0PUL, IK0XBX, IU0DHV, IU0LJD, IU0OSA, IU0OVB, IU0PVM, IU0PXQ, IU0SAQ, IU0SRH, IU0TEZ, IU0TID, IU0TQO, IW0HLZ, IW0RLC, IW0SAG, IZ0BVU, IZ0CUX, IZ0DHC, IZ0DXD, IZ0PAU, IZ0TWI, IZ0VXY, IZ0XYX"
II1WWA,Italy,"I1HJT, I1WUA, IK1HJS, IK1SPR, IK1VQO, IK1WEG, IK1YRA, IK1ZFO, IK3UNA, IU1DOF, IU1NSA, IW1FRU, IW1RBI, IZ1BWB, IZ1GDB, IZ1HHT, IZ1ZHG"
II2WWA,Italy,"I2CZQ, IK2AQZ, IK2CLB, IK2EGL, IK2GAO, IK2GWH, IK2ILW, IK2JUB, IK2LWY, IK2MMM, IK2PFL, IK2TPX, IK2YCW, IK2ZJP, IQ2MG, IU2CZP, IU2EFB, IU2JFG, IU2SKC, IU2SMJ, IU2VUD, IW2MXY, IZ2ABI, IZ2BKA, IZ2DLV, IZ2FDU, IZ2FWJ, IZ2ZOZ"
II3WWA,Italy,"I3JKI, IK3HHX, IK3QAR, IU3BTY, IU3OAR, IV3AZV, IV3BAZ, IV3BCA, IV3BTY, IV3FSG, IV3HAX, IV3IPS, IV3IXN, IV3JAK, IV3JVJ, IV3KNU, IV3RYP, IV3ZXQ, IV3ZYB, IW3SSD, IZ3NXC, IZ3SOF, IZ3VTH"
II4WWA,Italy,"I4GAD, I4VEQ, IK4GRF, IK4MTF, IK4POI, IK4UPB, IK4VET, IK4ZGO, IU4KET, IW4AA"
II5WWA,Italy,"IK5FKE, IK5IFH, IK5JRZ, IK5MEL, IK5MEP, IK5ZWU, IU5HWS, IU5ICR, IU5OGC, IU5PTB, IU5TDZ, IU5VKD, IZ5CMG, IZ5CMI, IZ5DKG, IZ5EKV, IZ5MMT, IZ5WTV"
II6WWA,Italy,"IK6BAK, IK6IHU, IK6MNB, IK6PTH, IK6VXO, IU6RVC, IU6TZS, IU6TZT, IU6UAM, IU6UBB, IU6UYV, IU6VMR, IZ6BTN, IZ6HYR, IZ6IMN, IZ6NAL, IZ6TSA, IZ6WPS"
II7WWA,Italy,"I7DFV, I7PHH, I7PXV, IK7HPG, IK7IMK, IK7LNC, IK7MIY, IK7NXU, IK7XJA, IK7YTQ, IK7YZI, IK7ZLW, IU7BSE, IU7EDX, IU7RAL, IU7RAM, IU7SGC, IU7TUV, IU7UGJ, IW7EBB, IW7EBE, IZ7ECL, IZ7GLL, IZ7NMD, IZ7QEB, IZ7XNB"
II8WWA,Italy,II9WWA
II9WWA,Sicily,"IT9AAK, IT9ACJ, IT9AEQ, IT9BUN, IT9FRX, IT9GJK, IT9IMJ, IT9JUI, IT9JYI, IT9KCD, IT9KHI, IT9KHW, IT9KVW, IT9LKX, IT9RZU, IT9ZZO"
IR0WWA,Italy,"IS0AAS, IS0AGY, IS0HZH, IS0IHS, IS0ILP, IS0JXO, IS0KEB, IS0LYN, IS0MKX, IS0UWS, IS0YFE"
IR1WWA,Italy,"IK1HVW, IX1AMY, IX1CKN, IX1HPN, IX1JQE, IX1VYM"
KP4WWA,Puerto Rico,"KP3N, KP4DZ, KP4JRS, KP4LCA, KP4PUA, KP4U, KP4YT, NP3A, NP3KV, NP4BM, NP4E, NP4EB, NP4ET, NP4JJ, W0EAS, WP3JL, WP4MQQ, WP4RZC, WP4SRD, WP4SZA, WP4TZ"
LA1WWA,Norway,"LA4PM, LA4XLA, LA6CF, LA6VQ, LB5WB, LB8BH"
N1W,United States,"AA1BS, AA1N, K1ESE, K1RX, K1TR, N1PTM, NN1SS, WJ1U, WJ1X"
N4W,United States,"AA4CS, AC6ZM, AD4EB, AD7N, K0EJ, K1GU, K4HWS, K4NMR, K4RO, KJ4YLR, KR4NFU, N4MCC, NJ4P, NO4O, NR4L, W4CMG, W4KW, W4LT, W4NZ, W4SDX, W5MX, WV4P"
N6W,United States,"AA2IL, AE6XC, AI6EY, K6DGW, K6ICS, K6IRF, K6OK, KB6TAZ, KJ6MC, KJ6YQV, KN6GUU, KN6VQ, KO6M, N6ACL, N7NR, NZ6Q, W6GA, W6OLI"
N8W,United States,"AG3I, K5ZD, K8BL, KA2MGE, KE8DNF, KW8N, NJ3K"
N9W,United States,"AG9A, AI9T, AJ9C, K9CAC, K9CT, K9EI, K9IR, K9KJ, K9LA, K9MU, K9UR, K9WX, KA9FOX, KB9OWD, KC9EE, KJ9B, N9ATF, N9CK, N9EEE, N9EP, N9MSG, N9WEW, NE9U, W9MR, W9YK, WB9SBD, WB9TFH, WI9WI, WS9V, WT9U"
OH5WWA,Finland,"OH3CNR, OH5KNL, OH5LLR, OH5QV"
OL6WWA,Czech Republic,"OK1BOA, OK1CRM, OK1FCJ, OK1GK, OK2ZA, OK2ZC, OK2ZI, OK6DJ"
