 ,SPRATLY ISLANDS, , , , , , , , , , , , , , , , , 
CE0X,SAN FELIX ISLAND, , , , , , , , , , , , , , , , , 
CE0Y,EASTER ISLAND, ,X, , ,X, , , ,X,X,X,X,X,X, , ,X
CE0Z,JUAN FERNANDEZ ISLAND, ,X, , ,X, , , , , ,X, , ,X, , , 
CE9 KC4,ANTARCTICA, ,X, ,X,X, , , , ,X,X, , , ,X, , 
CN,MOROCCO, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
CO,CUBA, ,X,X, ,X, , , ,X,X,X,X,X,X,X, , 
CP,BOLIVIA, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
CT,PORTUGAL, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
CT3,MADEIRA ISLANDS, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
CU,AZORES, ,X,X, ,X, , ,X,X,X,X,X,X,X,X,X,X
CX,URUGUAY, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
CY0,SABLE ISLAND, ,X, , ,X, , , , ,X,X,X,X, , , ,X
CY9,SAINT PAUL ISLAND, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
D2,ANGOLA, ,X, ,X,X, , , , , ,X, ,X, , , ,X
D4,CAPE VERDE, ,X,X,X,X, , , , ,X,X,X,X,X,X, ,X
D6,COMOROS, ,X, , ,X, , , ,X, , ,X,X,X,X, , 
DL,FEDERAL REPUBLIC OF GERMANY, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
DU,PHILIPPINES, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
E3,ERITREA, ,X, , ,X, , , , ,X, , , , , , , 
E4,PALESTINE, ,X, ,X,X, , , , , ,X, , , , , ,X
E5,NORTH COOK ISLANDS, ,X, , ,X, , , , , , , ,X, , , , 
E5,SOUTH COOK ISLANDS, ,X, , ,X, , , , , ,X, ,X, , , ,X
E6,NIUE, ,X, , ,X, , , , ,X,X,X,X, ,X, , 
E7,BOSNIA-HERZEGOVINA, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA,SPAIN, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA6,BALEARIC ISLANDS, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA8,CANARY ISLANDS, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
EA9,CEUTA & MELILLA, ,X,X,X,X, , , ,X,X,X,X,X,X,X, ,X
EI,IRELAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
EK,ARMENIA, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X, 
EL,LIBERIA, ,X, , ,X, , , ,X,X,X,X,X,X, , , 
EP,IRAN, ,X, ,X,X, , , ,X,X, , , ,X,X, , 
ER,MOLDOVA, ,X, , ,X, , ,X,X,X,X,X,X,X,X,X,X
ES,ESTONIA, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
ET,ETHIOPIA, ,X, , ,X, , , , , ,X,X,X,X,X, , 
EU,BELARUS, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
EX,KYRGYZSTAN, ,X, ,X,X, ,X, ,X,X,X, ,X,X,X,X, 
EY,TAJIKISTAN, ,X, , ,X, , , ,X, ,X,X,X, ,X, , 
EZ,TURKMENISTAN, , , , , , , , , , , , , , , , , 
F,FRANCE, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
FG,GUADELOUPE, ,X, , ,X, , , ,X,X,X,X,X,X,X,X,X
FH,MAYOTTE ISLAND, ,X, , ,X, , , , ,X,X,X, , ,X, ,X
FJ,SAINT BARTHELEMY, ,X, , ,X, , , , ,X,X, , , , , , 
FK,NEW CALEDONIA, ,X, , ,X, , , , ,X,X,X,X,X,X, ,X
FK/C,CHESTERFIELD ISLANDS, , , , , , , , , , , , , , , , , 
FM,MARTINIQUE, ,X,X,X,X, , , ,X, ,X,X,X,X, , ,X
FO,AUSTRAL ISLANDS, ,X, ,X,X, , , , ,X,X,X,X, , , , 
FO,FRENCH POLYNESIA, ,X, , ,X, , , , , ,X,X,X, , , , 
FO,MARQUESAS ISLANDS, , , , , , , , , , , , , , , , , 
FO0,CLIPPERTON ISLAND, ,X, , ,X, , , ,X,X,X, , , , , , 
FP,SAINT PIERRE & MIQUELON, ,X, , ,X, , , , , ,X,X, ,X, , ,X
FR,REUNION ISLAND, ,X, , ,X, , , , , ,X,X,X,X,X, ,X
FR/G,GLORIOSO ISLAND, ,X, , ,X, , , , , ,X, , , ,X, , 
FR/J,JUAN DE NOVA EUROPA, , , , , , , , , , , , , , , , , 
FR/T,TROMELIN ISLAND, , , , , , , , , , , , , , , , , 
FS,SAINT MARTIN, ,X, , ,X, , , ,X,X,X,X,X,X,X, ,X
FT5W,CROZET ISLAND, ,X, , ,X, , , , ,X, ,X, , , , , 
FT5X,KERGUELEN ISLAND, , , , , , , , , , , , , , , , , 
FT5Z,AMSTERDAM & SAINT PAUL ISLANDS, , , , , , , , , , , , , , , , , 
FW,WALLIS & FUTUNA ISLANDS, ,X, , ,X, , , , , , ,X,X, , , ,X
FY,FRENCH GUIANA, ,X, ,X,X, , , , , ,X,X, ,X, , , 
G M,ENGLAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
GD,ISLE OF MAN, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
GI MI,NORTHERN IRELAND, ,X, ,X,X, , ,X,X,X,X,X,X,X,X,X,X
GJ,JERSEY, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
GM MM,SCOTLAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
GU,GUERNSEY, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
GW MW,WALES, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
H4,SOLOMON ISLANDS, ,X, , ,X, , , , , ,X,X, , , , ,X
H40,TEMOTU PROVINCE, ,X, , ,X, , , , , , , , , , , ,X
HA,HUNGARY, ,X,X,X,X, , ,X,X,X,X,X,X,X,X,X,X
HB,SWITZERLAND, ,X,X,X,X, ,X,X,X,X,X,X,X,X,X,X,X
HB0,LIECHTENSTEIN, ,X,X, ,X, , ,X,X,X,X,X,X,X,X,X,X
HC,ECUADOR, ,X, , ,X, , ,X,X,X,X,X,X,X,X, , 
HC8,GALAPAGOS ISLANDS, ,X, , ,X, , , , ,X,X, ,X, , , , 
HH,HAITI, ,X, , ,X, , , , ,X,X,X,X,X,X, , 
HI,DOMINICAN REPUBLIC, ,X, , ,X, , ,X,X,X,X,X,X,X,X, ,X
HK,COLOMBIA, ,X,X, ,X, , , ,X,X,X,X,X,X,X, , 
HK0,MALPELO ISLAND, , , , , , , , , , , , , , , , , 
HK0,SAN ANDRES ISLAND, ,X, , ,X, , , , ,X, , , , , , , 
HL DS,REPUBLIC OF KOREA, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
