 ,SPRATLY ISLANDS, , , , , , , , , , , , , , , , , 
ZD9,TRISTAN DA CUNHA & GOUGH ISLANDS, ,X, , ,X, , , ,X,X,X,X,X,X,X, , 
ZF,CAYMAN ISLANDS, ,X, ,X,X, , , , ,X,X, ,X,X,X, ,X
ZK3,TOKELAU ISLANDS, , , , , , , , , , , , , , , , , 
ZL,NEW ZEALAND, ,X, ,X,X, , , ,X,X,X,X,X,X,X, ,X
ZL7,CHATHAM ISLAND, ,X, , ,X, , , , ,X,X,X, ,X,X, , 
ZL8,KERMADEC ISLAND, , , , , , , , , , , , , , , , , 
ZL9,NEW ZEALAND SUBANTARCTIC ISLANDS, , , , , , , , , , , , , , , , , 
ZP,PARAGUAY, ,X, , ,X, , , ,X,X,X,X, ,X,X, , 
ZS,REPUBLIC OF SOUTH AFRICA, ,X, ,X,X, , , , ,X,X,X,X,X,X, ,X
ZS8,PRINCE EDWARD & MARION ISLANDS, ,X, , ,X, , , , ,X, , , , , , , 
